dt,n_elements,final_time,successful_steps,run_status,trace_eq_0,trace_eq_1,bulk_eq_0,bulk_eq_1
0.1,10,0.5,,success,3.119463,0.2754417,1.047594,0.2014976
0.1,20,0.5,,success,2.485203,0.2531237,1.01492,0.1785721
0.1,40,0.5,,success,2.091471,0.24653,1.057637,0.1732279
0.1,80,0.5,,success,1.871221,0.2443503,1.098457,0.1720072
0.1,160,0.5,,success,1.754699,0.2435345,1.124691,0.171759
0.05,10,0.5,,success,2.137266,0.1268001,0.694335,0.1015395
0.05,20,0.5,,success,1.573245,0.1075215,0.5036367,0.07788365
0.05,40,0.5,,success,1.215833,0.1025883,0.4784026,0.07259575
0.05,80,0.5,,success,1.015453,0.1013331,0.505266,0.07146485
0.05,160,0.5,,success,0.9095705,0.1010098,0.5311346,0.07127415
0.025,10,0.5,,success,1.68857,0.07094308,0.726511,0.06421
0.025,20,0.5,,success,1.14454,0.05181606,0.4146301,0.0392521
0.025,40,0.5,,success,0.7968525,0.04693204,0.2627333,0.03364408
0.025,80,0.5,,success,0.6024955,0.04585599,0.2337572,0.03245611
0.025,160,0.5,,success,0.5003613,0.04568197,0.2467978,0.03226468
0.0125,10,0.5,,success,1.482359,0.04867202,0.7960771,0.04910792
0.0125,20,0.5,,success,0.9425659,0.02899692,0.4505436,0.02315473
0.0125,40,0.5,,success,0.5957368,0.02322051,0.236312,0.01696208
0.0125,80,0.5,,success,0.40179,0.02184893,0.1363663,0.01556049
0.0125,160,0.5,,success,0.3000639,0.0216358,0.1158136,0.01530856
0.00625,10,0.5,,success,1.385628,0.03969702,0.8406753,0.04266046
0.00625,20,0.5,,success,0.8464933,0.02004256,0.4856829,0.01640056
0.00625,40,0.5,,success,0.4989998,0.01307331,0.255623,0.009650949
0.00625,80,0.5,,success,0.3042612,0.01096799,0.1267296,0.007870407
0.00625,160,0.5,,success,0.2018375,0.01053146,0.06972577,0.00747392
0.003125,10,0.5,,success,1.339188,0.03598653,0.8649546,0.03976491
0.003125,20,0.5,,success,0.8000994,0.01688301,0.5065548,0.01362429
0.003125,40,0.5,,success,0.452132,0.009235623,0.2721042,0.006652993
0.003125,80,0.5,,success,0.2568504,0.006210516,0.1363477,0.004445678
0.003125,160,0.5,,success,0.1537992,0.00532738,0.06566529,0.003792571
0.0015625,10,0.5,,success,1.316499,0.03437079,0.8775353,0.03840811
0.0015625,20,0.5,,success,0.7773853,0.01582273,0.5176946,0.01247027
0.0015625,40,0.5,,success,0.4291943,0.008069367,0.2817212,0.005562697
0.0015625,80,0.5,,success,0.2336843,0.004464568,0.1442083,0.003110448
0.0015625,160,0.5,,success,0.1303253,0.003027867,0.07042196,0.002147481
0.00078125,10,0.5,,success,1.305295,0.03362931,0.8839297,0.03775373
0.00078125,20,0.5,,success,0.7661598,0.01544947,0.5234264,0.01196757
0.00078125,40,0.5,,success,0.4178704,0.007774239,0.2868329,0.005190993
0.00078125,80,0.5,,success,0.22228,0.003991461,0.1487702,0.00269497
0.00078125,160,0.5,,success,0.1188096,0.002199643,0.07424489,0.001532914
